
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-01-02


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, IMPERIAL VALLEY
Station Name:, EL CENTRO ARRAY #1
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 172, -, 1.0, -, 7.0, 19.5, 0.3, "Imperial Valley-06", 1979, "El Centro Array #1", 6.53, strike slip, 19.76, 21.68, 237.33, 0.1125, 1.0, RSN172_IMPVALL.H_H-E01140.AT2, RSN172_IMPVALL.H_H-E01230.AT2 , RSN172_IMPVALL.H_H-E01-UP.AT2  
2, SRSS, 173, -, 1.0, 4.515, 5.3, 12.8, 0.7, "Imperial Valley-06", 1979, "El Centro Array #10", 6.53, strike slip, 8.6, 8.6, 202.85, 0.075, 1.0, RSN173_IMPVALL.H_H-E10050.AT2, RSN173_IMPVALL.H_H-E10320.AT2 , RSN173_IMPVALL.H_H-E10-UP.AT2  
3, SRSS, 174, -, 1.0, -, 4.6, 9.0, 2.0, "Imperial Valley-06", 1979, "El Centro Array #11", 6.53, strike slip, 12.56, 12.56, 196.25, 0.1, 1.0, RSN174_IMPVALL.H_H-E11140.AT2, RSN174_IMPVALL.H_H-E11230.AT2 , RSN174_IMPVALL.H_H-E11-UP.AT2  
4, SRSS, 175, -, 1.0, -, 9.7, 19.6, 0.4, "Imperial Valley-06", 1979, "El Centro Array #12", 6.53, strike slip, 17.94, 17.94, 196.88, 0.0875, 1.0, RSN175_IMPVALL.H_H-E12140.AT2, RSN175_IMPVALL.H_H-E12230.AT2 , RSN175_IMPVALL.H_H-E12-UP.AT2  
5, SRSS, 176, -, 1.0, -, 8.9, 21.6, 0.3, "Imperial Valley-06", 1979, "El Centro Array #13", 6.53, strike slip, 21.98, 21.98, 249.92, 0.1, 1.0, RSN176_IMPVALL.H_H-E13140.AT2, RSN176_IMPVALL.H_H-E13230.AT2 , RSN176_IMPVALL.H_H-E13-UP.AT2  
6, SRSS, 197, -, 1.0, -, 2.3, 5.3, 0.0, "Imperial Valley-07", 1979, "El Centro Array #1", 5.01, strike slip, 23.76, 24.84, 237.33, 0.75, 1.0, RSN197_IMPVALL.A_A-E01140.AT2, RSN197_IMPVALL.A_A-E01230.AT2 , RSN197_IMPVALL.A_A-E01-UP.AT2  
7, SRSS, 198, -, 1.0, -, 4.9, 5.9, 0.0, "Imperial Valley-07", 1979, "El Centro Array #10", 5.01, strike slip, 10.73, 12.96, 202.85, 0.625, 1.0, RSN198_IMPVALL.A_A-E10050.AT2, RSN198_IMPVALL.A_A-E10320.AT2 , RSN198_IMPVALL.A_A-E10-UP.AT2  
8, SRSS, 199, -, 1.0, -, 1.0, 5.0, 0.1, "Imperial Valley-07", 1979, "El Centro Array #11", 5.01, strike slip, 13.61, 15.42, 196.25, 0.875, 1.0, RSN199_IMPVALL.A_A-E11140.AT2, RSN199_IMPVALL.A_A-E11230.AT2 , RSN199_IMPVALL.A_A-E11-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-172 SRSS pSa (g),RSN-173 SRSS pSa (g),RSN-174 SRSS pSa (g),RSN-175 SRSS pSa (g),RSN-176 SRSS pSa (g),RSN-197 SRSS pSa (g),RSN-198 SRSS pSa (g),RSN-199 SRSS pSa (g)
0.01,0.21776653,0.40565496,0.11690295,0.19683866,0.28959278,0.52787442,0.18706155,0.18232062,0.06930802,0.07352673,0.21560947
0.02,0.22166071,0.4092385,0.12006072,0.20191937,0.2946976,0.53289221,0.19237286,0.18493395,0.07122117,0.07912443,0.21612407
0.022,0.2253591,0.416552,0.12192169,0.20901101,0.30096097,0.54243529,0.19340527,0.18664744,0.07156064,0.08195957,0.2168926
0.025,0.2277522,0.41959188,0.12362265,0.21255885,0.30806003,0.54582563,0.19169324,0.18779557,0.07129162,0.08780452,0.2169881
0.029,0.22724253,0.41356627,0.1248631,0.20782953,0.3041268,0.53805715,0.1938459,0.19107076,0.07667467,0.08547682,0.22085861
0.03,0.228284,0.41277228,0.12625262,0.21632785,0.30735188,0.53495038,0.19349506,0.18940081,0.07720929,0.08604641,0.22149028
0.032,0.2310328,0.41653455,0.12814341,0.22235473,0.30965296,0.54107574,0.19592717,0.18834885,0.07843749,0.0913027,0.22116278
0.035,0.23436221,0.4169989,0.13171653,0.22752216,0.30130729,0.5472849,0.2003249,0.19022331,0.07717796,0.11005573,0.22100144
0.036,0.23401649,0.41313761,0.13255564,0.22443814,0.29904401,0.54265148,0.19993539,0.19309408,0.07758924,0.11356741,0.2218122
0.04,0.24490379,0.41734393,0.14371328,0.27442956,0.30033994,0.5403038,0.20598253,0.20081565,0.08197973,0.12250326,0.23287586
0.042,0.249115,0.42136879,0.14727783,0.28431838,0.30008622,0.54644923,0.20822209,0.20011238,0.08964063,0.12547232,0.23861872
0.044,0.25719619,0.42632937,0.15516144,0.29390945,0.31743039,0.54878784,0.22018729,0.20540758,0.09827785,0.13231263,0.24125651
0.045,0.25971795,0.42419001,0.15901698,0.29409548,0.32501492,0.54323807,0.22963534,0.20464749,0.10163521,0.13814917,0.24132796
0.046,0.26366141,0.42378914,0.16403757,0.29762913,0.32843813,0.54111741,0.24154029,0.20447778,0.10280591,0.15152881,0.24175384
0.048,0.27441153,0.43633019,0.17257959,0.33089684,0.33874911,0.54973675,0.25493922,0.20529176,0.10295821,0.17016591,0.24255441
0.05,0.27641662,0.43916946,0.17397874,0.35069427,0.33949422,0.54703245,0.25808443,0.20780626,0.10526749,0.16457777,0.23837608
0.055,0.29568118,0.48221506,0.18130367,0.45310604,0.39212351,0.54726206,0.27695186,0.21865762,0.10132544,0.15126806,0.22475488
0.06,0.30033828,0.49065195,0.18384332,0.42007847,0.43878866,0.55925195,0.25756937,0.23527259,0.10110149,0.14293396,0.24770978
0.065,0.31384894,0.51346837,0.19183491,0.41882069,0.48105643,0.57354766,0.26611868,0.27150253,0.09864777,0.13541189,0.26568585
0.067,0.32646518,0.53084671,0.20077268,0.4390035,0.50430371,0.5892396,0.26190386,0.28787821,0.10629978,0.14978405,0.27330876
0.07,0.34443396,0.56019382,0.21177448,0.4538513,0.56806147,0.59566654,0.2674369,0.32105038,0.11200164,0.15827408,0.27912938
0.075,0.36421442,0.60582329,0.21896177,0.48777225,0.6150538,0.61745163,0.34197533,0.34209912,0.09227833,0.14124471,0.27584019
0.08,0.36963543,0.62217832,0.21959998,0.47553883,0.54904105,0.70362906,0.36617281,0.36139451,0.09605601,0.12947479,0.27577635
0.085,0.38012006,0.62898332,0.22972192,0.4998952,0.52802113,0.70178962,0.39907655,0.40032307,0.09428021,0.13034794,0.28722674
0.09,0.40377119,0.67793579,0.24048174,0.64893827,0.51603563,0.72563495,0.39957742,0.39863572,0.10866021,0.12540874,0.30727861
0.095,0.42553269,0.74700212,0.24240637,0.74934842,0.50579188,0.80465677,0.39068052,0.3918243,0.11617442,0.11447224,0.33131296
0.1,0.41548369,0.73793598,0.23393181,0.68969043,0.50167455,0.83771368,0.37148349,0.37393349,0.11583638,0.11107013,0.32246739
0.11,0.42653343,0.76271142,0.23853159,0.54848364,0.59929654,0.91209019,0.40966468,0.41106524,0.11835636,0.10932194,0.30398884
0.12,0.44554242,0.79064894,0.25106977,0.64527561,0.58608643,0.91195383,0.4064703,0.48738314,0.10501403,0.12146612,0.30068989
0.13,0.47416368,0.83945948,0.26782853,0.6334109,0.6264032,0.96489312,0.43067308,0.59171299,0.11230442,0.12067269,0.31323905
0.133,0.46410942,0.81748382,0.26348846,0.57446719,0.6423214,0.9390682,0.43639136,0.57958011,0.11126314,0.1151369,0.31464705
0.14,0.44721546,0.8100097,0.24691268,0.50746785,0.61367027,0.9848331,0.42587673,0.50703346,0.1215342,0.10801111,0.30929692
0.15,0.46639874,0.93776932,0.231963,0.48800077,0.62775621,1.2045508,0.46451058,0.4164775,0.13157739,0.0987559,0.29956074
0.16,0.48913204,1.10853125,0.21582626,0.39901095,0.61380927,1.45758413,0.47024248,0.44105171,0.13121963,0.09578347,0.30435466
0.17,0.53408763,1.37347704,0.20768428,0.391097,0.67088896,1.79001652,0.48964659,0.38723715,0.13052149,0.11036268,0.30293062
0.18,0.55933955,1.49854827,0.20877588,0.40319642,0.67900851,1.94675876,0.4954873,0.37207834,0.13559186,0.12149394,0.32110127
0.19,0.54888426,1.30615643,0.23065685,0.38451984,0.71273911,1.71749946,0.51960654,0.44813132,0.13947644,0.14574566,0.32335571
0.2,0.54270928,1.20055631,0.24533073,0.38624944,0.67417617,1.58190125,0.53587979,0.53989156,0.14268577,0.13830191,0.34258832
0.22,0.58069661,1.35015369,0.24975568,0.38097618,0.72275417,1.75378762,0.44192737,0.69129401,0.14626776,0.09464815,0.41391761
0.24,0.6575316,1.9186079,0.22534453,0.38408776,0.68933394,2.45321809,0.45371888,0.60433689,0.1538508,0.09760291,0.42410352
0.25,0.6565412,1.86925523,0.23059791,0.41834639,0.78695394,2.39805379,0.45876817,0.49167662,0.16107917,0.10144668,0.43600487
0.26,0.64547072,1.75893904,0.23686577,0.45624463,0.81957481,2.27198693,0.44918791,0.4395042,0.16416194,0.10762731,0.45547804
0.28,0.58601967,1.35753137,0.2529732,0.42743781,0.6914538,1.80480089,0.49953419,0.48006002,0.16688541,0.12285669,0.49512852
0.29,0.60911356,1.41704213,0.2618266,0.42180393,0.74250686,1.87796145,0.4950543,0.52557196,0.16635588,0.13209766,0.51155644
0.3,0.59178414,1.31785647,0.26574098,0.40453272,0.75686333,1.74288358,0.45767522,0.53159886,0.16606726,0.1421815,0.53247063
